region,AOD_550_NHX,AOD_550_T,AOD_550_SHX,AOD_550_NHX_L_seas,CLDliq_NHX,CLDliq_T,CLDliq_SHX,CLDliq_NHX_L_seas,CTP_NHX,CTP_T,CTP_SHX,CTP_NHX_L_seas,MSLP_DGM_NHX,MSLP_DGM_T,MSLP_DGM_NHX_seas,OLR_NHX,OLR_T,OLR_SHX,OLR_NHX_L_seas,OLRC_NHX,OLRC_T,OLRC_SHX,OLRC_NHX_L_seas,Precip_NHX_L,Precip_T_L,Precip_T_L_seas,Precip_NHX_L_seas,RH@500_NHX,RH@500_T,RH@500_SHX,RH@500_NHX_L_seas,RSR_NHX,RSR_T,RSR_SHX,RSR_NHX_L_seas,RSRC_NHX,RSRC_T,RSRC_SHX,RSRC_NHX_L_seas,Reff_NHX,Reff_T,Reff_SHX,Reff_NHX_L_seas,T2m_NHX_L,T2m_T_L,T2m_NHX_L_seas,T@500_NHX,T@500_T,T@500_SHX,T@500_NHX_L_seas,netflux_global
AOD_550_NHX,9.142923913651777e-06,3.02976992461057e-06,-9.991127967996635e-08,4.538448843532239e-06,6.167201650117552e-07,-2.4402795387775735e-07,2.9734034802943586e-07,1.93167577242457e-06,0.04920007610564972,0.08066906452667287,-0.005610165829299066,-0.09671842434191866,0.012673531429530614,-0.008230943962372702,-0.05026897043008402,1.9462254012355903e-05,0.00012099831462280594,-1.9359346713932994e-05,0.0003188844753962042,-0.00010075927107174993,6.88432756296074e-05,-1.3401795862428881e-05,0.00044224127784342905,1.7072007056912712e-11,-5.211715927568714e-11,-1.1317735566925637e-10,-6.90446344977967e-11,-8.28244160965409e-05,-4.859170387722572e-05,-2.8075101352701515e-05,-0.00015014048693758676,0.00013351974680552301,5.038281813664074e-05,6.0570061637082e-05,0.00011808225734746891,0.0002757344752492829,0.0001078371588225588,4.678670880679996e-05,-0.0001298414189326563,-1.7591301458724288e-12,3.4592472059466695e-12,1.3099970143247473e-11,-2.5011665196954212e-11,-0.0001048477548988611,2.616402120997669e-05,0.0002457251409789948,1.2648122160253221e-05,3.2849183176971974e-06,1.0517471507396996e-05,8.588015811280799e-05,-0.0001342440658636768
AOD_550_T,3.02976992461057e-06,7.92985463311503e-06,7.349844505334064e-07,2.2894195589245107e-06,5.339252139561405e-07,-1.914312250315943e-07,-1.1494617489621793e-07,-5.751108530304776e-07,0.019968444587487866,0.02825958686447908,-0.013577836456309254,-0.20595777958662836,0.009756510266400406,-0.005083001066981682,-0.05377692108807387,0.00011421064443690093,1.890151038630339e-05,3.7971983094879015e-05,0.0002833632948719052,3.9684160890525134e-05,-1.147107381807113e-05,3.836098060465055e-05,0.0004185165069421068,-6.907592649367319e-11,-2.604256028369191e-11,1.5309682180906046e-10,-5.281410333829519e-12,-0.00018904050212229903,3.7959558204790205e-05,-3.271468179336134e-05,0.00015774789383359613,3.0730574428049615e-06,0.00016891157006390658,-2.0680577146557232e-05,4.1103233909453116e-05,0.00010408617980641854,0.00018901744772521583,2.457407735000704e-05,-3.560139171096665e-05,-1.4170082567292912e-12,7.533988265492806e-12,4.45984794231127e-12,-1.3055905931458687e-11,-9.541659232567122e-06,-1.585087862199967e-05,0.00018080987890390377,4.317208405003937e-05,5.717028919564955e-06,4.591020555074096e-05,0.00014563813234263074,-0.0001275476149899519
AOD_550_SHX,-9.991127967996635e-08,7.349844505334064e-07,3.7827735058256373e-06,-1.0446416560123535e-07,-2.497653701851867e-07,-1.8045298565174808e-07,-6.119926138596848e-07,2.6078778888567995e-06,0.00114280410298967,0.0022713835206806645,0.008587835970784368,0.13891522701375789,0.006413059992970822,-6.36460358969241e-06,-0.012564220971862636,-4.4986956278052566e-06,5.857940030285969e-05,7.882525074602955e-05,0.00043768331000160676,-2.566025687632441e-05,5.585888358422177e-05,4.147291927456372e-05,0.00035584679786927975,2.345949202989679e-11,-2.1677629663943184e-10,3.038128159862717e-10,5.8443677735104105e-12,1.1142791706047957e-05,-2.2266697514504302e-05,9.671048863682919e-06,-0.00014413922407531264,4.7250835896633707e-05,2.7707638176681206e-05,-0.00010717447254418636,-0.00027410098389763946,4.546713148177351e-05,3.318771779854619e-05,1.5797444919246324e-05,-0.00014632225788172216,3.1211217271872834e-12,5.639248888145146e-13,-3.218244937719625e-12,-1.4425959481273359e-11,-5.6954669870643856e-05,1.656511103925735e-05,0.00018552249686630356,1.7468905277341599e-06,4.865216596760197e-06,1.6386582598292392e-05,7.394855130527508e-05,-4.6742259337853954e-05
AOD_550_NHX_L_seas,4.538448843532239e-06,2.2894195589245107e-06,-1.0446416560123535e-07,3.771621321387808e-05,-1.3757520387679738e-06,-5.142304294156251e-07,3.398429330046053e-06,5.2204971282336405e-06,0.0037611793814160566,0.20725918215193223,0.13153601393744355,0.28805831823817823,-0.039066013667146106,0.003336260691336697,0.05431033506920865,0.0003131412305518113,0.00026446743941073555,0.00010528669439853162,0.00039569882523802905,0.0002515171483963061,0.0001438950204400225,5.560372636198215e-05,-0.00030561987371442733,-2.665812430427333e-11,-4.0864567465116397e-10,-9.755395025363684e-10,-4.748407765890937e-10,-0.0001528065793098318,-9.094376155385275e-05,-9.186099572280894e-05,-0.00032755805803543663,-0.0002974372190049927,-2.0263230563591937e-05,0.00023532230535836573,0.0009317144672354803,7.338150391787751e-05,0.00011085479026969511,6.301832514671963e-05,0.0015972659958286026,-6.565199933452295e-12,-3.4882269011711026e-12,2.1359165208008618e-11,-4.752483631468996e-12,0.0002008154236422019,1.4659175500121195e-05,-0.00028566040835138333,5.852905018778035e-05,1.7276541595019505e-05,3.040387188230549e-05,3.841983347769468e-05,-0.00021118642436182666
CLDliq_NHX,6.167201650117552e-07,5.339252139561405e-07,-2.497653701851867e-07,-1.3757520387679738e-06,7.0150639617303e-06,3.461368057123976e-07,-5.907900501650005e-07,-1.405386771702191e-06,0.15791412685253234,0.0488314148017915,0.029823364389127856,-0.19227186920109898,0.007840418325624042,-0.005863655216271205,-0.029802250746853248,-7.903619961079441e-05,-2.8294683732942206e-05,0.00011663254946935916,-0.0003672767782543257,-9.876018319851235e-05,-7.939601841854578e-06,6.152175065277308e-05,-0.0002239774619885489,2.1558534811247217e-10,2.65614118695197e-10,1.675273272650528e-10,1.1296581837847882e-10,-9.6296142397627e-05,2.053859798534196e-05,9.143911143359945e-05,8.272617552547476e-05,0.0004195511544524948,6.675892353914773e-05,-8.66872197614019e-05,0.000621358631764311,0.0001216233594610791,1.371963529685207e-05,-4.5388781848023166e-05,-2.3608075877750702e-05,3.665353408573022e-13,1.6237030209831808e-12,9.578145625350853e-12,-6.6026921233711505e-12,-7.016389746276952e-05,-8.733446086491389e-06,-0.0001485841997597364,1.316198292955406e-05,-5.623478418118452e-06,2.639425035611816e-06,5.5932607414098944e-05,-0.00011184865387329941
CLDliq_T,-2.4402795387775735e-07,-1.914312250315943e-07,-1.8045298565174808e-07,-5.142304294156251e-07,3.461368057123976e-07,2.6749130343135323e-06,-1.0403368182140711e-07,-5.166846912252643e-07,0.014735412577519053,0.016949876950385304,-0.010189727433799976,-0.02328717373917915,0.001502322459781127,0.00021580285147213173,-0.004749396792037444,-1.968492272161898e-05,-3.3151423178770856e-05,-2.9224710614465034e-05,-1.017980551468026e-05,-1.6779007728811684e-05,-2.427389883846514e-05,-1.8250628661845457e-05,1.8928997797472707e-05,-2.3485615915398908e-11,1.5779523471024017e-10,-1.2323932612562112e-10,2.026228745694014e-11,1.1828667987888714e-06,2.2785769056098843e-05,2.5162523053028177e-06,1.7434780786002695e-05,2.3693173922385545e-05,2.6198695707017808e-05,2.9845271298363918e-05,2.6693068198254237e-05,-1.0046282146695493e-05,-1.3518388861039872e-05,6.356340082842274e-06,8.527578449752402e-06,-2.8569028149096076e-13,2.0021633286493843e-12,-1.8017197477489035e-12,-8.161916688330446e-13,-2.2208562397785583e-06,-8.768275878664004e-06,-1.83635727785762e-05,-3.6992864958840336e-06,3.279926963568877e-06,-6.749938140087014e-06,5.452580047336247e-06,2.3194409446751353e-06
CLDliq_SHX,2.9734034802943586e-07,-1.1494617489621793e-07,-6.119926138596848e-07,3.398429330046053e-06,-5.907900501650005e-07,-1.0403368182140711e-07,5.100378706301788e-06,-1.3448185136600455e-06,0.013686585482464635,6.796083541706236e-05,0.09960438653498821,0.0461747083351221,-0.011430619849940071,-7.547270679556166e-06,0.007131858555531552,5.902332206627725e-05,-3.309701227903272e-05,7.125556004878025e-05,-0.00010152128713562263,4.8627720869617214e-05,-2.667528535858933e-05,2.124078876844099e-05,-0.00027838060533761163,5.079495259115049e-11,-5.6609001394163204e-11,-1.6739364153753477e-10,-7.949797158595691e-12,4.212224488343724e-05,2.239931542968789e-05,-0.00014594714620622053,-0.00017688490831092673,-9.538142068806336e-05,-7.194250514162799e-06,0.00015694486037790906,-6.771314068392327e-05,-3.612563320905783e-05,-1.8921217650296662e-06,9.376051474126889e-08,0.00012658100304241196,7.491103419699163e-13,-2.554056681367389e-12,-6.126733458231838e-13,7.757017244884078e-13,6.353075141167315e-05,1.1660147745211673e-06,-0.00012247872270978877,-1.7074872185211808e-06,-1.4119115670669388e-05,2.1520349820510423e-05,-3.748431726904885e-05,-2.7815762371532657e-05
CLDliq_NHX_L_seas,1.93167577242457e-06,-5.751108530304776e-07,2.6078778888567995e-06,5.2204971282336405e-06,-1.405386771702191e-06,-5.166846912252643e-07,-1.3448185136600455e-06,4.2054072191397236e-05,-0.10253190375890575,0.12563848310927622,-0.11788720052427762,1.6861536788974996,0.055341333777197244,-0.005965631810562788,-0.067817993904532,-0.0001370180036106009,0.00046473114944112383,-0.00020942956977803987,0.0016122563441995088,-0.00019445335272380384,0.00028231678533653984,-0.00012806666561719645,0.0015416295637585157,-6.70454946180275e-11,-3.7099799261436745e-10,-4.4833045608462626e-10,-1.0356028355911521e-10,7.592859775066779e-05,-0.00019786623779729517,-0.0001127690987866612,-0.00022426523686635105,0.00027874059704593535,-0.00018745207906493484,0.00014408675227228353,0.0018178656531227231,0.0002110923889969013,9.635463358110793e-06,0.00016853858744580116,0.00045402789739739866,-1.0669724326270324e-11,-1.6888063257160965e-12,-1.4528888840634985e-11,-1.6668684175828748e-10,-0.0003798922827821188,6.645202011362059e-05,0.0008082162545628391,-3.294749988650221e-05,4.323094738544313e-05,4.174246812195978e-05,-2.9011902841995884e-05,-0.0001577390944127596
CTP_NHX,0.04920007610564972,0.019968444587487866,0.00114280410298967,0.0037611793814160566,0.15791412685253234,0.014735412577519053,0.013686585482464635,-0.10253190375890575,13308.396719569093,3055.761044402049,3996.003779826048,-7232.324106467477,720.2340337607694,-338.3122197903518,-2069.1687231295027,-0.9510834489120275,-1.545650304618499,9.530744209490228,0.44108208448195435,-7.53436437319808,-0.3629296770240703,4.498605813114352,0.29694037786443434,1.1865758513098606e-05,6.707090836932156e-06,9.388475661318995e-06,9.018796120875037e-06,-1.476671407945395,3.033500026372088,2.022953916873898,-9.923859653457106,14.974312339981216,3.0033068564958625,-4.200271510984746,10.497060394780842,9.110022979679664,0.6302124229914791,-2.2660159506466697,-0.02545699934036623,-2.129903205793966e-08,4.173241089016415e-08,1.8055028935692076e-07,-9.302718246291149e-07,-5.9993440495671395,0.2924947731489752,-1.245274736687522,-1.4201645966078602,-0.6382508761870495,0.35317974138254365,8.368623164857423,-5.567278526289769
CTP_T,0.08066906452667287,0.02825958686447908,0.0022713835206806645,0.20725918215193223,0.0488314148017915,0.016949876950385304,6.796083541706236e-05,0.12563848310927622,3055.761044402049,10102.43847504534,-143.56776323404839,3949.109730093891,188.9750863153975,-79.94622882467097,-1726.4571509912503,0.9466067571118343,9.409808173145487,-1.2896972891532508,22.923079950548537,-2.1890734732815536,5.7110514044478675,-0.9039054259328749,20.419082899952045,1.196096895781454e-07,-4.7631962950114185e-07,-1.6588407270348073e-05,-4.082088336325578e-07,-2.789478319516642,-6.469451783338047,0.2740954774219354,-4.9572787869966115,7.069776044968176,0.4809679750180987,6.116161819634126,9.482165551274019,7.55936535367629,1.279555176403341,1.998268170195258,4.123141978367275,-8.693802662063156e-08,-3.531936639238689e-07,1.3246198874456517e-07,-9.566168622567897e-07,-3.030666431214064,-0.34752764801821623,7.003435801753832,0.8144796750230573,0.7687529106550205,-0.4428415711240379,6.521519703862388,-8.15611064091206
